sourceId,slug,company,title,summary,body,perkType,amountDisplay,creditValueUsd,currency,eligibility,fundingStages,regions,categories,applyUrl,sourceUrl,lastVerified,verified,isActive,featured,partnerOnly,sortOrder
auth0-for-startups,auth0-for-startups,Auth0,Auth0 for Startups identity credits,Auth0 startup offerings can include credits and free usage tiers for authentication and identity workflows.,"Included MAUs, credits, and duration can vary. Confirm the current startup package before implementation planning.",mixed,Credits and free MAU tiers (program-dependent),,,Qualifying startups through direct startup criteria or approved partner ecosystems.,Pre-seed | Seed | Series A,Global,Security | Developer Tools,https://auth0.com/,https://auth0.com/,2026-02-06,false,true,false,false,
braintrust-startup,braintrust-startup,Braintrust,Braintrust for Startups,"AI evaluation and testing platform for startups. Build, test, and evaluate AI agents and LLM applications.","Braintrust is the enterprise-grade platform for evaluating and testing AI. Startups can build reliable AI systems with comprehensive testing, tracing, and evaluation tools.",credit,Startup credits,5000,,AI startups building LLM applications or AI agents needing evaluation tools.,Pre-seed | Seed | Series A,Global,AI | Developer Tools,https://braintrustdata.com/,https://braintrustdata.com/,2026-02-14,false,true,false,false,
brevo-startup,brevo-startup,Brevo,Brevo for Startups,"Free plan for startups. All-in-one marketing platform for email, SMS, and more.","Brevo offers a free plan with up to 2,500 subscribers and 15,000 emails per month. Get unlimited automation, customizable templates, and a drag-and-drop email builder. Perfect for startups building their marketing foundation.",trial,Free forever plan,1000,,Early-stage startups needing marketing automation.,Pre-seed | Seed | Series A,Global,Marketing | Email,https://www.brevo.com/,https://www.brevo.com/,2026-02-14,false,true,false,false,
brex-for-startups,brex-for-startups,Brex,Brex for Startups partner rewards and perks,"Brex for Startups offers startup financial tooling with access to partner rewards, discounts, and ecosystem perks.","Perks vary by account type, geography, and partner campaigns. Confirm active reward details before relying on specific amounts.",mixed,"Cash rewards, credits, and partner perks (program-dependent)",,,Eligible startups opening qualifying Brex accounts and meeting onboarding criteria.,Pre-seed | Seed | Series A | Series B,United States,Fintech | Payments,https://www.brex.com/solutions/startups,https://www.brex.com/solutions/startups,2026-02-06,false,true,false,false,
browserbase-startup,browserbase-startup,Browserbase,Browserbase for Startups,"Browser automation infrastructure for AI applications. Scalable browser instances for web scraping, testing, and AI agents.","Browserbase provides headless browser infrastructure for AI startups. Build reliable web automation, scrape data, and power AI agents with scalable browser instances.",credit,Startup credits,5000,,AI startups building browser-based applications or web automation.,Pre-seed | Seed | Series A,Global,AI | Developer Tools,https://browserbase.com/startups,https://browserbase.com/startups,2026-02-14,false,true,false,false,
canva-for-startups,canva-for-startups,Canva,Canva for Startups design plan benefits,Canva startup programs can provide free or discounted access to pro collaboration and brand tooling.,Program details can differ by partner and geography. Confirm current Canva startup plan terms before enrollment.,discount,Free Pro access (program-dependent),,,Eligible startups through approved startup partnerships or direct qualification.,Pre-seed | Seed | Series A,Global,Design | Marketing,https://www.canva.com/,https://www.canva.com/,2026-02-06,false,true,false,false,
circleci-oss,circleci-oss,CircleCI,CircleCI Open Source Program,"Up to 400,000 free build minutes for open source projects. One of the most robust free CI/CD plans.","CircleCI supports open source projects with one of the most robust free CI/CD plans available. Get up to 400,000 monthly credits for Linux builds. Over 3.6 million open source builds run on CircleCI monthly.",credit,"400,000 free build minutes",40000,,Open source projects and startups building open source software.,Pre-seed | Seed | Series A,Global,Developer Tools | DevOps | CI/CD,https://circleci.com/open-source/,https://circleci.com/open-source/,2026-02-14,false,true,false,false,
clerk-for-startups,clerk-for-startups,Clerk,Clerk for Startups authentication credits,Clerk startup support may include credits or discounted authentication plans for early-stage products.,Credit quantity and usage rules can vary. Confirm active startup package terms before integrating into budgeting.,credit,Authentication credits (program-dependent),,,"Early-stage startups, often through startup partner programs and ecosystem referrals.",Pre-seed | Seed | Series A,Global,Security | Developer Tools,https://clerk.com/startups,https://clerk.com/,2026-02-06,false,true,false,false,
cleura-startup,cleura-startup,Cleura,Cleura Startup Program,"European sovereign cloud credits for startups. Build faster, stay compliant on a sovereign open-source foundation.",Cleura provides a European sovereign cloud alternative with focus on data privacy and compliance. Startups get free access to build faster while staying compliant on an open-source foundation they'll never outgrow.,credit,Cloud credits,10000,,European startups needing GDPR-compliant cloud infrastructure.,Pre-seed | Seed | Series A,Europe,Cloud | Infrastructure | Compliance,https://cleura.com/cleura-startup-program/,https://cleura.com/cleura-startup-program/,2026-02-14,false,true,false,false,
clickhouse-startup,clickhouse-startup,ClickHouse,ClickHouse Cloud Startup Program,Column-oriented database for analytics. Build fast analytical reports with ClickHouse Cloud.,ClickHouse is a column-oriented database management system for online analytical processing. ClickHouse Cloud offers startups a way to build fast analytical reports with minimal latency and maximum efficiency.,credit,Cloud credits,5000,,"Startups building analytics, logging, or data warehousing applications.",Pre-seed | Seed | Series A,Global,Database | Analytics,https://clickhouse.com/cloud,https://clickhouse.com/cloud,2026-02-14,false,true,false,false,
cloudinary-for-startups,cloudinary-for-startups,Cloudinary,Cloudinary for Startups media credits,Cloudinary startup benefits can include media processing and bandwidth credits for early-stage products.,Credit scope and usage constraints may vary by cohort. Confirm current startup offer details on official Cloudinary pages.,credit,Media and bandwidth credits (program-dependent),,,"Startups meeting Cloudinary startup criteria, often through approved partner channels.",Pre-seed | Seed | Series A,Global,Developer Tools | Performance,https://cloudinary.com/,https://cloudinary.com/,2026-02-06,false,true,false,false,
cohere-startup,cohere-startup,Cohere,Cohere for Startups,"Enterprise AI language models for startups. Build with secure, private LLMs.","Cohere provides enterprise-grade AI language models designed for businesses. Startups get access to secure, private LLMs with data privacy guarantees. Perfect for building AI-powered enterprise applications.",credit,Credits vary,10000,,AI startups building enterprise applications with language models.,Pre-seed | Seed | Series A,Global,AI | Developer Tools,https://cohere.com,https://cohere.com,2026-02-14,false,true,false,false,
convertkit-creator,convertkit-creator,ConvertKit,ConvertKit for Creators,Email marketing for creators and startups. Build and grow your audience.,"ConvertKit provides email marketing tools designed for creators. Start building your audience with landing pages, forms, and automated email sequences. Get creator-friendly pricing as you grow.",discount,Creator pricing,500,,Creators and startups building an audience.,Pre-seed | Seed | Series A,Global,Marketing | Email,https://convertkit.com/,https://convertkit.com/,2026-02-14,false,true,false,false,
convex-for-startups,convex-for-startups,Convex,Convex for Startups backend program,Convex for Startups offers early-stage teams free Convex Professional access and discounted usage fees.,Program terms are listed on Convex's official startup page and may change over time. Re-check eligibility and discount limits before applying.,mixed,"Up to 1 year free Professional plan plus 30% off usage fees up to $30,000",,,"Early-stage startups (Series A or earlier) with fewer than 20 employees, under 3 years old, and less than $3M raised.",Pre-seed | Seed | Series A,Global,Database | Developer Tools | AI,https://www.convex.dev/startups,https://www.convex.dev/startups,2026-02-06,true,true,false,false,
crowdstrike-startup,crowdstrike-startup,CrowdStrike,CrowdStrike Startup Program,Enterprise-grade endpoint security for startups. Protect your endpoints from cyber threats.,"CrowdStrike provides startup-friendly access to their enterprise-grade endpoint security platform. Get protection for your endpoints, cloud workloads, and identity with the same technology used by Fortune 500 companies.",credit,Startup credits,10000,,Early-stage startups needing cybersecurity protection.,Pre-seed | Seed | Series A,Global,Security,https://www.crowdstrike.com,https://www.crowdstrike.com,2026-02-14,false,true,false,false,
cursor-startup,cursor-startup,Cursor,Cursor for Startups,AI-powered code editor with startup pricing. Cursor combines AI assistance with a modern IDE for faster development.,Cursor is an AI-first code editor built for pair programming with AI. Startups get access to powerful AI coding assistance that understands your entire codebase and helps you ship faster.,discount,Startup plan pricing,2400,,Early-stage startups building software products.,Pre-seed | Seed | Series A,Global,Developer Tools | AI,https://cursor.sh/pricing,https://cursor.sh/pricing,2026-02-14,false,true,false,false,
datadog-for-startups,datadog-for-startups,Datadog,Datadog for Startups observability credits,Datadog startup offers can include usage credits and onboarding support for monitoring and incident workflows.,Credit caps and qualification criteria can change. Review active startup program terms directly with Datadog.,credit,"Up to $100,000 in credits (program-dependent)",100000,USD,Early-stage startups in eligible startup ecosystems or partner networks.,Pre-seed | Seed | Series A | Series B,Global,Monitoring | DevOps,https://www.datadoghq.com/,https://www.datadoghq.com/,2026-02-06,false,true,false,false,
deel-startup,deel-startup,Deel,Deel for Startups,"Global hiring and payroll platform. Hire, pay, and manage contractors and employees globally.","Deel for Startups helps you hire best talent in 150+ countries in minutes without worrying about compliance, payroll, or HR admin. Get access to curated resources, workforce mentors, and global experts.",credit,"$5,000 credits (via Techstars)",5000,,Techstars portfolio companies. Other accelerators may have similar deals.,Pre-seed | Seed | Series A,Global,HR | Payroll,https://www.deel.com,https://www.deel.com,2026-02-14,false,true,false,false,
deepinfra-startup,deepinfra-startup,DeepInfra,DeepInfra startup program,AI inference credits for startups. DeepInfra provides fast inference on open-source models with flexible deployment options.,DeepInfra offers production-ready machine learning models with high-fidelity image generation and text generation capabilities. Startups get access to state-of-the-art open-source models with enterprise-grade infrastructure.,credit,Inference credits,10000,,Startups building AI applications requiring fast inference on open-source models.,Pre-seed | Seed | Series A,Global,AI | Developer Tools,https://deepinfra.com/deepstart,https://deepinfra.com/deepstart,2026-02-14,true,true,false,false,
digitalocean-hatch,digitalocean-hatch,DigitalOcean,DigitalOcean Hatch startup credits,DigitalOcean Hatch supports startups with cloud credits and technical resources to help teams launch and scale.,Credit allocations may vary by startup stage and partner route. Confirm latest Hatch program details before applying.,credit,"Up to $5,000 in credits",5000,USD,Early-stage startups accepted into Hatch through direct or partner applications.,Bootstrapped | Pre-seed | Seed,Global,Cloud | Infrastructure,https://www.digitalocean.com/startups,https://www.digitalocean.com/startups,2026-02-06,false,true,false,false,
elevenlabs-startup-grants,elevenlabs-startup-grants,ElevenLabs,ElevenLabs startup grants and credits,"ElevenLabs provides startup-focused access programs that may include trial periods, credits, or grants for voice AI use cases.",Offer structure can change and may be partner-specific. Verify exact grant terms on official channels.,trial,Up to 3 months free (program-dependent),,,Early-stage startups building products that can demonstrate fit for voice or AI platform usage.,Pre-seed | Seed | Series A,Global,AI | Developer Tools,https://elevenlabs.io/,https://elevenlabs.io/,2026-02-06,false,true,false,false,
fastly-for-startups,fastly-for-startups,Fastly,Fastly for Startups CDN credits,"Fastly startup programs can provide edge, security, and CDN credits for qualifying companies.",Credit levels and product inclusions can vary. Verify active startup terms directly with Fastly.,credit,CDN credits (program-dependent),,,Early-stage startups through approved startup and partner ecosystems.,Seed | Series A | Series B,Global,Cloud | Performance,https://www.fastly.com/,https://www.fastly.com/,2026-02-06,false,true,false,false,
figma-for-startups,figma-for-startups,Figma,Figma for Startups design collaboration benefits,Figma for Startups offers qualifying startups discounted or free access to professional design collaboration tooling.,Program details may vary by geography and partner relationship. Confirm current eligibility and term length before applying.,discount,Free Professional plan for up to 1 year (program-dependent),,,"Early-stage startups, often through approved startup partners or accelerator networks.",Pre-seed | Seed | Series A,Global,Design | Collaboration,https://www.figma.com/,https://www.figma.com/,2026-02-06,false,true,false,false,
fireworks-ai-startup,fireworks-ai-startup,Fireworks AI,Fireworks for Startups,Fast inference credits for AI startups. Fireworks offers the fastest inference for generative AI with day-0 model access.,"Fireworks for Startups provides technical resources, tools, and community support for AI builders. Get direct access to world-class applied AI engineers and the fastest inference platform for open models.",credit,Inference credits,10000,,"AI startups building generative AI applications requiring fast, reliable inference.",Pre-seed | Seed | Series A | Series B,Global,AI | Developer Tools,https://fireworks.ai/startups,https://fireworks.ai/startups,2026-02-14,true,true,false,false,
github-copilot-for-startups,github-copilot-for-startups,GitHub,GitHub Copilot and platform benefits for startups,"GitHub for Startups provides eligible early-stage companies with discounted platform access, including program-dependent AI tooling benefits.",Exact benefits vary by plan and eligibility path. Review current program terms for Copilot and plan inclusions.,mixed,Free or discounted Copilot and GitHub plan benefits (program-dependent),,,Early-stage funded startups (typically up to Series B) that meet GitHub for Startups criteria.,Pre-seed | Seed | Series A | Series B,Global,Developer Tools | Security,https://github.com/enterprise/startups,https://github.com/enterprise/startups,2026-02-06,false,true,false,false,
gitlab-startup,gitlab-startup,GitLab,GitLab for Startups,"20 licenses of GitLab Ultimate free for one year. The platform to unify development, security, and operations.","GitLab for Startups provides 20 licenses of GitLab Ultimate free for one year. Build your startup's future on GitLab, the platform designed to unify your development, security, and operations from day one. Includes AI-powered features via GitLab Duo.",credit,20 GitLab Ultimate licenses free for 1 year,21060,,Early-stage startups building software products. Apply for startup program to receive benefits.,Pre-seed | Seed | Series A | Series B,Global,Developer Tools | DevOps,https://about.gitlab.com/solutions/startups/,https://about.gitlab.com/solutions/startups/,2026-02-14,false,true,false,false,
google-for-startups-cloud,google-for-startups-cloud,Google Cloud,Google for Startups Cloud Program credits,Google for Startups Cloud Program offers credits and technical guidance for startups building and scaling on Google Cloud.,Program tracks and benefit limits can vary over time. Confirm your exact region and tier when applying.,credit,"Up to $100,000 in credits",100000,USD,Early-stage startups with a validated product and fit for Google Cloud partner pathways.,Bootstrapped | Pre-seed | Seed | Series A,Global,Cloud | Data | AI,https://cloud.google.com/startup,https://cloud.google.com/startup,2026-02-05,true,true,false,false,
grafana-startup,grafana-startup,Grafana Labs,Grafana Labs Startup Program,"Up to $100,000 in Grafana Cloud credits. Built for scale, priced for reality.","Grafana Labs believes in providing observability to startups at any stage. Apply for up to $100,000 in Grafana Cloud credits to monitor metrics, logs, and traces with the industry's leading open-source visualization platform.",credit,"$100,000 credits",100000,,"Early-stage startups needing observability for metrics, logs, and traces.",Pre-seed | Seed | Series A | Series B,Global,Analytics | Monitoring | DevOps,https://grafana.com/blog/grafana-labs-startup-program/,https://grafana.com/blog/grafana-labs-startup-program/,2026-02-14,false,true,false,false,
gusto-startup,gusto-startup,Gusto,Gusto for Startups,"Payroll, benefits, and HR for startups. Run payroll in minutes with smart technology.","Gusto provides the gold standard for payroll, benefits, and HR. Run payroll in minutes, automatically file taxes, help with compliance, and identify tax credits you may qualify for. Over 400,000 businesses trust Gusto.",discount,Startup pricing,2000,,Early-stage startups needing payroll and HR solutions.,Pre-seed | Seed | Series A,Global,HR | Payroll,https://gusto.com/,https://gusto.com/,2026-02-14,false,true,false,false,
heroku-oss,heroku-oss,Heroku,Heroku Open Source Credit Program,Platform credits for open source projects. Build and deploy apps on Heroku's platform.,Heroku Open Source Credit Program provides one year of platform credits to qualifying open source software projects. Build and deploy applications with Heroku's intuitive platform.,credit,Platform credits,2000,,Open source software projects hosted on Heroku.,Pre-seed | Seed | Series A,Global,Cloud | Developer Tools | Platform,https://www.heroku.com/open-source-credit-program,https://www.heroku.com/open-source-credit-program,2026-02-14,false,true,false,false,
hubspot-for-startups,hubspot-for-startups,HubSpot,HubSpot for Startups CRM and marketing discounts,HubSpot for Startups offers tiered discounts on CRM and growth tooling for early-stage teams through approved partners.,Discount percentage depends on stage and partner track. Confirm current terms and renewal discounts on the official page.,discount,Up to 90% off in year one on eligible plans,,,"Startups typically need to be associated with approved VC, accelerator, or startup program partners.",Pre-seed | Seed | Series A,Global,Marketing | Sales | CRM,https://www.hubspot.com/startups,https://www.hubspot.com/startups,2026-02-05,true,true,false,false,
huggingface-startup,huggingface-startup,Hugging Face,Hugging Face startup program,Free inference credits and Pro subscription features for early-stage AI startups building on Hugging Face.,Hugging Face provides startups with free monthly credits to experiment with Inference Providers and Pro subscription features. Ideal for startups building AI applications using open-source models.,credit,Free credits + Pro features,24000,,Early-stage AI startups building on Hugging Face infrastructure.,Pre-seed | Seed | Series A,Global,AI | Developer Tools,https://huggingface.co/pricing,https://huggingface.co/pricing,2026-02-14,true,true,false,false,
ibm-cloud-startup,ibm-cloud-startup,IBM Cloud,IBM Cloud for Startups,Enterprise-grade cloud for startups. Build and deploy with IBM's cloud infrastructure and AI services.,"IBM Cloud provides startups with access to enterprise-grade cloud infrastructure, Watson AI services, and more. Build and deploy applications with the reliability and security of IBM's global cloud network.",credit,Credits vary,10000,,Early-stage startups building on cloud infrastructure.,Pre-seed | Seed | Series A | Series B,Global,Cloud | AI | Infrastructure,https://www.ibm.com/cloud/startups,https://www.ibm.com/cloud/startups,2026-02-14,false,true,false,false,
infura-startup,infura-startup,Infura,Infura for Startups,Ethereum and IPFS API credits for Web3 developers. Build decentralized applications fast.,"Infura provides reliable API endpoints for Ethereum, Polygon, Arbitrum, Optimism, and IPFS. Startups get scalable infrastructure to build decentralized applications without managing blockchain nodes.",credit,Credits vary,10000,,"Web3 startups building on Ethereum, Polygon, or IPFS.",Pre-seed | Seed | Series A,Global,Web3 | Blockchain,https://infura.io,https://infura.io,2026-02-14,false,true,false,false,
intercom-for-startups,intercom-for-startups,Intercom,Intercom for Startups messaging discounts,Intercom startup programs may offer substantial discounts on customer messaging and support plans.,Discount percentages and duration can vary. Confirm current Intercom startup terms before making pricing assumptions.,discount,Up to 90% off (program-dependent),,,Early-stage startups through approved startup partners or direct startup qualification paths.,Pre-seed | Seed | Series A,Global,Support | Marketing,https://www.intercom.com/early-stage,https://www.intercom.com/early-stage,2026-02-06,false,true,false,false,
inworld-ai-startup,inworld-ai-startup,Inworld AI,Inworld AI startup credits,"$10,000 credits and 1 million free minutes for AI startups building realtime conversational AI applications.","Inworld AI provides up to $10,000 in credits and 1 million free minutes for startups building realtime conversational AI. Includes access to TTS, Inworld Runtime, and supported third-party model providers.",credit,"$10,000 + 1M minutes",10000,,"AI startups building realtime conversational AI, virtual characters, or voice applications.",Pre-seed | Seed | Series A | Series B,Global,AI | Voice,https://inworld.ai/startup-ai-credits,https://inworld.ai/startup-ai-credits,2026-02-14,true,true,false,false,
jetbrains-for-startups,jetbrains-for-startups,JetBrains,JetBrains for Startups IDE licenses,JetBrains for Startups can provide free team IDE licenses for eligible early-stage software companies.,License scope and duration can vary by eligibility profile. Confirm current terms on the official JetBrains page.,discount,Free IDE licenses for eligible teams,,,Product-focused startups meeting JetBrains startup criteria and company age limits.,Bootstrapped | Pre-seed | Seed,Global,Developer Tools | Productivity,https://www.jetbrains.com/startups/,https://www.jetbrains.com/startups/,2026-02-06,false,true,false,false,
kong-startup,kong-startup,Kong,Kong Konnect Startup Program,$500 in API management credits. Unified SaaS API management platform for modern startups.,"Kong Konnect is a unified SaaS API management platform designed to manage APIs securely across any cloud, team, gateway, protocol, or architecture. Get $500 in credits to start building your API infrastructure.",credit,$500 credits,500,,Early-stage startups building APIs or API products.,Pre-seed | Seed | Series A,Global,Developer Tools | API,https://konghq.com/pricing,https://konghq.com/pricing,2026-02-14,false,true,false,false,
linear-for-startups,linear-for-startups,Linear,Linear for Startups issue tracking benefits,Linear for Startups gives eligible teams free access periods on paid plans to help early product organizations ship faster.,Offer eligibility includes partner affiliation and workspace requirements. Confirm latest terms before enrollment.,trial,Up to 6 months free on eligible plans,,,New Linear customers under employee limits and affiliated with approved startup partners.,Pre-seed | Seed | Series A,Global,Developer Tools | Productivity,https://linear.app/startups,https://linear.app/startups,2026-02-06,true,true,false,false,
lokalise-startup,lokalise-startup,Lokalise,Lokalise for Startups,Translation management for global startups. Automate and collaborate on all localization projects.,"Lokalise is the most user-friendly localization platform trusted by 3000+ companies. Startups get access to flexible pricing, unlimited translator seats, and transparent usage-based pricing. Accelerate international growth with automated translation workflows.",discount,Startup discount,3000,,Early-stage startups needing translation and localization.,Pre-seed | Seed | Series A,Global,Localization | Productivity,https://lokalise.com/,https://lokalise.com/,2026-02-14,false,true,false,false,
loom-for-startups,loom-for-startups,Loom,Loom for Startups video collaboration benefits,Loom startup offers may include free or discounted access to business collaboration plans.,Plan duration and limits can vary. Validate the current startup offer terms on Loom's official pages.,trial,Free Business plan period (program-dependent),,,Early-stage startups through startup partner ecosystems or direct startup programs.,Pre-seed | Seed | Series A,Global,Collaboration | Productivity,https://www.loom.com/,https://www.loom.com/,2026-02-06,false,true,false,false,
mailchimp-free,mailchimp-free,Mailchimp,Mailchimp Free Plan,"Free marketing platform for startups. Email marketing, automation, and analytics.","Mailchimp offers a free plan for startups to get started with email marketing. Includes marketing automation, audience insights, and basic analytics. Scale up as your startup grows.",trial,Free plan available,1000,,Early-stage startups needing email marketing tools.,Pre-seed | Seed | Series A,Global,Marketing | Email,https://mailchimp.com/pricing/free-details/,https://mailchimp.com/pricing/free-details/,2026-02-14,false,true,false,false,
mailgun-for-startups,mailgun-for-startups,Mailgun,Mailgun startup email credits,Mailgun startup programs can include credits or discounted messaging plans for product and transactional email.,Offer specifics vary by route and campaign period. Confirm current startup credit terms before applying.,credit,Email sending credits (program-dependent),,,Early-stage startups in approved partner networks or startup programs.,Pre-seed | Seed | Series A,Global,Marketing | Developer Tools,https://www.mailgun.com/,https://www.mailgun.com/,2026-02-06,false,true,false,false,
mercury-perks,mercury-perks,Mercury,Mercury Startup Perks,"Curated deals and perk bundles for startups. Banking, credit, and software discounts.","Mercury provides curated deals and perk bundles for startups at every stage. Access exclusive credits and discounts on software, systems, and more that help you move faster and smarter. Includes deals from Superhuman, GitHub, and other top tools.",discount,Various perk bundles,5000,,Mercury account holders. Startups building products.,Pre-seed | Seed | Series A | Series B,Global,Finance | Banking,https://mercury.com/perks,https://mercury.com/perks,2026-02-14,false,true,false,false,
microsoft-founders-hub,microsoft-founders-hub,Microsoft,Microsoft for Startups Founders Hub credits,Microsoft for Startups Founders Hub includes Azure credits and startup enablement support across multiple growth stages.,Benefits are milestone-based and may change. Double check the current credit progression before relying on a specific amount.,credit,"Up to $150,000 in Azure credits",150000,USD,"Startups building software products, with benefits generally increasing as the startup reaches later milestones.",Bootstrapped | Pre-seed | Seed | Series A,Global,Cloud | AI | Developer Tools,https://portal.startups.microsoft.com/,https://portal.startups.microsoft.com/,2026-02-05,true,true,false,false,
miro-for-startups,miro-for-startups,Miro,Miro for Startups collaboration plans,Miro startup programs can include free periods or discounted team plans for product collaboration.,Benefit terms can change by region and partner. Confirm current startup offer details before selecting plans.,trial,Free Team or Business plan period (program-dependent),,,Early-stage startups through startup ecosystem partnerships or approved direct programs.,Pre-seed | Seed | Series A,Global,Collaboration | Productivity,https://miro.com/startups/,https://miro.com/,2026-02-06,false,true,false,false,
mistral-ai-ambassador,mistral-ai-ambassador,Mistral AI,Mistral AI Ambassador Program,Free API credits and early access for startups building with Mistral models. Six-month ambassador program with VIP recognition.,"Mistral AI Ambassador Program provides equity-free benefits including free API credits, early access to new features, and VIP recognition. Six-month program for AI builders.",credit,Free API credits + early access,5000,,Startups building AI applications with Mistral models and interested in joining the ambassador program.,Pre-seed | Seed | Series A,Global,AI | Developer Tools,https://mistral.ai/,https://mistral.ai/,2026-02-14,false,true,false,false,
